Protein,Protein Name,Protein Family,ChEMBL ID
MTNR1B,Melatonin receptor type 1B,Belongs to the G-protein coupled receptor 1 family,CHEMBL1946
MTNR1B,G-protein coupled receptor 62,Belongs to the G-protein coupled receptor 1 family,CHEMBL4523917
MTNR1B,G-protein coupled receptor 61,Belongs to the G-protein coupled receptor 1 family,CHEMBL4523918
MTNR1B,G-protein coupled receptor 135,Belongs to the G-protein coupled receptor 1 family,CHEMBL3309102
MTNR1B,Melatonin receptor type 1A,Belongs to the G-protein coupled receptor 1 family,CHEMBL1945
MTNR1B,Melatonin-related receptor,Belongs to the G-protein coupled receptor 1 family,CHEMBL3341577
MTNR1B,5-hydroxytryptamine receptor 2C,Belongs to the G-protein coupled receptor 1 family,CHEMBL225
SRSF1,Serine/arginine-rich splicing factor 1,Belongs to the splicing factor SR family,CHEMBL4295805
SRSF1,SRSF protein kinase 1,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family,CHEMBL4375
SRSF1,Dual specificity protein kinase CLK1,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. Lammer subfamily,CHEMBL4224
SRSF1,Serine/arginine-rich splicing factor 9,Belongs to the splicing factor SR family,CHEMBL4295813
SRSF1,Heterogeneous nuclear ribonucleoprotein H2,N/A,CHEMBL4296005
SRSF1,SRSF protein kinase 3,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family,CHEMBL5415
SRSF1,Dual specificity protein kinase CLK4,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. Lammer subfamily,CHEMBL4203
GABBR2,Gamma-aminobutyric acid type B receptor subunit 2,Belongs to the G-protein coupled receptor 3 family. GABA-B receptor subfamily,CHEMBL5034
GABBR2,Gamma-aminobutyric acid type B receptor subunit 1,Belongs to the G-protein coupled receptor 3 family. GABA-B receptor subfamily,CHEMBL2064
GABBR2,BTB/POZ domain-containing protein KCTD12,N/A,CHEMBL4523424
GABBR2,Vesicle-fusing ATPase,Belongs to the AAA ATPase family,CHEMBL2311231
KCNH2,Voltage-gated inwardly rectifying potassium channel KCNH2,Belongs to the potassium channel family. H (Eag) (TC 1.A.1.20) subfamily. Kv11.1/KCNH2 sub-subfamily,CHEMBL240
KCNH2,Calnexin,Belongs to the calreticulin family,CHEMBL2719
KCNH2,Potassium voltage-gated channel subfamily E member 1,Belongs to the potassium channel KCNE family,CHEMBL4872
KCNH2,Potassium voltage-gated channel subfamily B member 1,Belongs to the potassium channel family. B (Shab) (TC 1.A.1.2) subfamily. Kv2.1/KCNB1 sub-subfamily,CHEMBL2363000
KCNH2,Voltage-gated inwardly rectifying potassium channel KCNH6,Belongs to the potassium channel family. H (Eag) (TC 1.A.1.20) subfamily. Kv11.2/KCNH6 sub-subfamily,CHEMBL2363011
KCNH2,Serine/threonine-protein kinase Sgk3,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family,CHEMBL6186
KCNH2,Serine/threonine-protein phosphatase 5,Belongs to the PPP phosphatase family. PP-5 (PP-T) subfamily,CHEMBL3425389
KCNH2,Caveolin-1,Belongs to the caveolin family,CHEMBL3808270
KCNH2,Heat shock 70 kDa protein 1A,Belongs to the heat shock protein 70 family,CHEMBL5460
KCNH2,Sodium channel protein type 5 subunit alpha,Belongs to the sodium channel (TC 1.A.1.10) family. Nav1.5/SCN5A subfamily,CHEMBL1980
KCNH2,Potassium voltage-gated channel subfamily KQT member 1,Belongs to the potassium channel family. KQT (TC 1.A.1.15) subfamily. Kv7.1/KCNQ1 sub-subfamily,CHEMBL1866
EIF4H,Eukaryotic translation initiation factor 4H,N/A,CHEMBL1293274
EIF4H,Eukaryotic initiation factor 4A-I,Belongs to the DEAD box helicase family. eIF4A subfamily,CHEMBL2052028
EIF4H,Eukaryotic initiation factor 4A-II,Belongs to the DEAD box helicase family. eIF4A subfamily,CHEMBL4105952
SLC22A3,Solute carrier family 22 member 3,Belongs to the major facilitator (TC 2.A.1) superfamily. Organic cation transporter (TC 2.A.1.19) family,CHEMBL2073673
SLC22A3,Tyrosine-protein kinase ABL1,Belongs to the protein kinase superfamily. Tyr protein kinase family. ABL subfamily,CHEMBL1862
MTNR1A,Melatonin receptor type 1A,Belongs to the G-protein coupled receptor 1 family,CHEMBL1945
MTNR1A,Melatonin receptor type 1B,Belongs to the G-protein coupled receptor 1 family,CHEMBL1946
MTNR1A,Melatonin-related receptor,Belongs to the G-protein coupled receptor 1 family,CHEMBL3341577
GLUL,Glutamine synthetase,Belongs to the glutamine synthetase family,CHEMBL4612
GLUL,Receptor-interacting serine/threonine-protein kinase 3,Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family,CHEMBL1795199
GLUL,Tyrosine aminotransferase,Belongs to the class-I pyridoxal-phosphate-dependent aminotransferase family,CHEMBL3043
GLUL,Protein cereblon,Belongs to the CRBN family,CHEMBL3763008
GLUL,Histone acetyltransferase p300,N/A,CHEMBL3784
LEP,Leptin receptor,Belongs to the type I cytokine receptor family. Type 2 subfamily,CHEMBL5913
LEP,Signal transducer and activator of transcription 3,Belongs to the transcription factor STAT family,CHEMBL4026
LEP,Granulocyte colony-stimulating factor receptor,Belongs to the type I cytokine receptor family. Type 2 subfamily,CHEMBL1996
LEP,Free fatty acid receptor 3,Belongs to the G-protein coupled receptor 1 family,CHEMBL5201
LEP,Free fatty acid receptor 2,Belongs to the G-protein coupled receptor 1 family,CHEMBL5493
LEP,Interleukin-6 receptor subunit beta,Belongs to the type I cytokine receptor family. Type 2 subfamily,CHEMBL3124734
LEP,Cryptochrome-2,Belongs to the DNA photolyase class-1 family,CHEMBL4296116
LEP,Cryptochrome-1,Belongs to the DNA photolyase class-1 family,CHEMBL4296246
PABPC1,Polyadenylate-binding protein 1,Belongs to the polyadenylate-binding protein type-1 family,CHEMBL1293286
PABPC1,ATP-dependent RNA helicase DDX3X,Belongs to the DEAD box helicase family. DDX3/DED1 subfamily,CHEMBL5553
PABPC1,PAN2-PAN3 deadenylation complex subunit PAN3,Belongs to the protein kinase superfamily. PAN3 family,CHEMBL4105985
PABPC1,MAP kinase-activated protein kinase 2,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family,CHEMBL2208
PABPC1,Eukaryotic peptide chain release factor GTP-binding subunit ERF3B,Belongs to the TRAFAC class translation factor GTPase superfamily. Classic translation factor GTPase family. ERF3 subfamily,CHEMBL4105974
PABPC1,Eukaryotic translation initiation factor 4 gamma 1,Belongs to the eukaryotic initiation factor 4G family,CHEMBL4523621
HNRNPD,Heterogeneous nuclear ribonucleoprotein D0,N/A,CHEMBL4296009
HNRNPD,Eukaryotic translation initiation factor 4 gamma 1,Belongs to the eukaryotic initiation factor 4G family,CHEMBL4523621
HNRNPD,Heterogeneous nuclear ribonucleoprotein Q,N/A,CHEMBL4295997
HNRNPD,Heterogeneous nuclear ribonucleoproteins C1/C2,Belongs to the RRM HNRPC family. RALY subfamily,CHEMBL2216742
HNRNPD,Y-box-binding protein 1,Belongs to the YBX1 family,CHEMBL4296006
HNRNPD,Heterogeneous nuclear ribonucleoproteins A2/B1,N/A,CHEMBL3124741
HNRNPD,Polyadenylate-binding protein 1,Belongs to the polyadenylate-binding protein type-1 family,CHEMBL1293286
HNRNPD,14-3-3 protein sigma,Belongs to the 14-3-3 family,CHEMBL1909482
HNRNPD,Protein arginine N-methyltransferase 1,Belongs to the class I-like SAM-binding methyltransferase superfamily. Protein arginine N-methyltransferase family,CHEMBL5524
HNRNPD,Heterogeneous nuclear ribonucleoprotein U,N/A,CHEMBL4296007
BOLL,Neuropeptides B/W receptor type 2,Belongs to the G-protein coupled receptor 1 family,CHEMBL4523864
HNRNPM,Heterogeneous nuclear ribonucleoprotein M,N/A,CHEMBL5291610
HNRNPM,Peptidyl-prolyl cis-trans isomerase A,Belongs to the cyclophilin-type PPIase family. PPIase A subfamily,CHEMBL1949
HNRNPM,Heterogeneous nuclear ribonucleoprotein H,N/A,CHEMBL3797013
HNRNPM,Rhombotin-2,N/A,CHEMBL3217402
HNRNPM,Heterogeneous nuclear ribonucleoprotein F,N/A,CHEMBL4523238
HNRNPM,Heterogeneous nuclear ribonucleoproteins A2/B1,N/A,CHEMBL3124741
HNRNPM,SRSF protein kinase 1,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family,CHEMBL4375
SCN5A,Sodium channel protein type 5 subunit alpha,Belongs to the sodium channel (TC 1.A.1.10) family. Nav1.5/SCN5A subfamily,CHEMBL1980
SCN5A,Sodium channel regulatory subunit beta-1,Belongs to the sodium channel auxiliary subunit SCN1B (TC 8.A.17) family,CHEMBL5487
SCN5A,Sodium channel regulatory subunit beta-2,Belongs to the sodium channel auxiliary subunit SCN2B (TC 8.A.17) family,CHEMBL5446
SCN5A,Serine/threonine-protein kinase Sgk1,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family,CHEMBL2343
SCN5A,Calmodulin-1,Belongs to the calmodulin family,CHEMBL6093
SCN5A,Serine/threonine-protein kinase Sgk3,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family,CHEMBL6186
MAPT,Microtubule-associated protein tau,N/A,CHEMBL1293224
MAPT,Mitogen-activated protein kinase 13,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MAP kinase subfamily,CHEMBL2939
MAPT,Laforin,Belongs to the protein-tyrosine phosphatase family,CHEMBL2311242
MAPT,Serine/threonine-protein kinase MARK2,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. SNF1 subfamily,CHEMBL3831
MAPT,Tyrosine-protein kinase Lck,Belongs to the protein kinase superfamily. Tyr protein kinase family. SRC subfamily,CHEMBL258
MAPT,MAP/microtubule affinity-regulating kinase 3,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. SNF1 subfamily,CHEMBL5600
MAPT,Serine/threonine-protein kinase BRSK2,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. SNF1 subfamily,CHEMBL4574
MAPT,Amyloid-beta precursor protein,Belongs to the APP family,CHEMBL2487
MAPT,Sequestosome-1,N/A,CHEMBL4295816
MAPT,MAP/microtubule affinity-regulating kinase 4,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. SNF1 subfamily,CHEMBL5754
MAPT,Serine/threonine-protein kinase MARK1,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. SNF1 subfamily,CHEMBL5940
MAPT,Serine/threonine-protein phosphatase 5,Belongs to the PPP phosphatase family. PP-5 (PP-T) subfamily,CHEMBL3425389
MAPT,Leucine-rich repeat serine/threonine-protein kinase 2,Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family,CHEMBL1075104
MAPT,Serine/threonine-protein kinase BRSK1,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. SNF1 subfamily,CHEMBL5650
MAPT,Serine/arginine-rich splicing factor 6,Belongs to the splicing factor SR family,CHEMBL5169149
MAPT,Peptidyl-prolyl cis-trans isomerase FKBP4,N/A,CHEMBL4050
HNRNPA1,Heterogeneous nuclear ribonucleoprotein A1,N/A,CHEMBL1955709
HNRNPA1,MAP kinase-interacting serine/threonine-protein kinase 2,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family,CHEMBL4204
HNRNPA1,Heterogeneous nuclear ribonucleoproteins A2/B1,N/A,CHEMBL3124741
HNRNPA1,Heterogeneous nuclear ribonucleoproteins C1/C2,Belongs to the RRM HNRPC family. RALY subfamily,CHEMBL2216742
HNRNPA1,Nucleolar RNA helicase 2,Belongs to the DEAD box helicase family. DDX21/DDX50 subfamily,CHEMBL4296016
HNRNPA1,Heterogeneous nuclear ribonucleoprotein Q,N/A,CHEMBL4295997
HNRNPA1,Protein arginine N-methyltransferase 1,Belongs to the class I-like SAM-binding methyltransferase superfamily. Protein arginine N-methyltransferase family,CHEMBL5524
HNRNPA1,Peptidyl-prolyl cis-trans isomerase A,Belongs to the cyclophilin-type PPIase family. PPIase A subfamily,CHEMBL1949
HNRNPA1,Myc proto-oncogene protein,N/A,CHEMBL1250348
HNRNPA1,Heterogeneous nuclear ribonucleoprotein U,N/A,CHEMBL4296007
HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins A2/B1,N/A,CHEMBL3124741
HNRNPA2B1,Stimulator of interferon genes protein,Belongs to the STING family,CHEMBL4523377
HNRNPA2B1,TAR DNA-binding protein 43,N/A,CHEMBL2362981
HNRNPA2B1,Serine/threonine-protein kinase TBK1,Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. I-kappa-B kinase subfamily,CHEMBL5408
HNRNPA2B1,Proto-oncogene tyrosine-protein kinase Src,Belongs to the protein kinase superfamily. Tyr protein kinase family. SRC subfamily,CHEMBL267
HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins C1/C2,Belongs to the RRM HNRPC family. RALY subfamily,CHEMBL2216742
HNRNPA2B1,Heterogeneous nuclear ribonucleoprotein M,N/A,CHEMBL5291610
HNRNPA2B1,SRSF protein kinase 1,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family,CHEMBL4375
HNRNPA2B1,Heterogeneous nuclear ribonucleoprotein D0,N/A,CHEMBL4296009
HNRNPA2B1,Signal transducer and activator of transcription 5B,Belongs to the transcription factor STAT family,CHEMBL5817
HNRNPA2B1,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1,Belongs to the potassium channel HCN family,CHEMBL1795171
MAP2,Microtubule-associated protein 2,N/A,CHEMBL2390810
MAP2,Methionine aminopeptidase 2,Belongs to the peptidase M24A family. Methionine aminopeptidase eukaryotic type 2 subfamily,CHEMBL3922
MAP2,Tyrosine-protein kinase Fyn,Belongs to the protein kinase superfamily. Tyr protein kinase family. SRC subfamily,CHEMBL1841
MAP2,Mitogen-activated protein kinase 3,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MAP kinase subfamily,CHEMBL3385
MAP2,Serine/threonine-protein kinase MARK1,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. SNF1 subfamily,CHEMBL5940
MAP2,Mitogen-activated protein kinase 4,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MAP kinase subfamily,CHEMBL5759
MAP2,Mitogen-activated protein kinase 6,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MAP kinase subfamily,CHEMBL5121
MAP2,cAMP-dependent protein kinase type II-beta regulatory subunit,Belongs to the cAMP-dependent kinase regulatory chain family,CHEMBL2270
MAP2,cAMP-dependent protein kinase type II-alpha regulatory subunit,Belongs to the cAMP-dependent kinase regulatory chain family,CHEMBL2221
MAP2,Serine/threonine-protein kinase MARK2,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. SNF1 subfamily,CHEMBL3831
MAP2,Prolyl endopeptidase-like,Belongs to the peptidase S9A family,CHEMBL2189128
MAP2,Cyclin-dependent kinase 5,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. CDC2/CDKX subfamily,CHEMBL4036
MAP2,Core-binding factor subunit beta,Belongs to the CBF-beta family,CHEMBL1615386
MAP2,MAP/microtubule affinity-regulating kinase 4,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. SNF1 subfamily,CHEMBL5754
MAP2,Potassium channel subfamily K member 9,Belongs to the two pore domain potassium channel (TC 1.A.1.8) family,CHEMBL2321614
MAP2,MAP/microtubule affinity-regulating kinase 3,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. SNF1 subfamily,CHEMBL5600
MAP2,Caprin-1,Belongs to the caprin family,CHEMBL4295821
MAP2,Mitogen-activated protein kinase 1,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. MAP kinase subfamily,CHEMBL4040
MAP2,Microtubule-associated protein tau,N/A,CHEMBL1293224
LGSN,Vimentin,Belongs to the intermediate filament family,CHEMBL3712854
PPIE,Histone-lysine N-methyltransferase 2A,Belongs to the class V-like SAM-binding methyltransferase superfamily. Histone-lysine methyltransferase family. TRX/MLL subfamily,CHEMBL1293299
PPIE,Gelsolin,Belongs to the villin/gelsolin family,CHEMBL4295700
PPIE,Fibroblast growth factor receptor 3,Belongs to the protein kinase superfamily. Tyr protein kinase family. Fibroblast growth factor receptor subfamily,CHEMBL2742
PABPC4,Polyadenylate-binding protein 4,Belongs to the polyadenylate-binding protein type-1 family,CHEMBL5333
PABPC4,Heterogeneous nuclear ribonucleoprotein Q,N/A,CHEMBL4295997
SRSF4,Serine/arginine-rich splicing factor 6,Belongs to the splicing factor SR family,CHEMBL5169149
TRNAU1AP,Serine/threonine-protein kinase Nek7,Belongs to the protein kinase superfamily. NEK Ser/Thr protein kinase family. NIMA subfamily,CHEMBL4849
TRNAU1AP,Kallikrein-6,Belongs to the peptidase S1 family. Kallikrein subfamily,CHEMBL4448
TRNAU1AP,Survival motor neuron protein,Belongs to the SMN family,CHEMBL1293232
TRNAU1AP,Dynamin-2,Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin/Fzo/YdjA family,CHEMBL5812
HNRNPCL1,Heterogeneous nuclear ribonucleoproteins C1/C2,Belongs to the RRM HNRPC family. RALY subfamily,CHEMBL2216742
HNRNPCL1,E3 ubiquitin-protein ligase RNF4,N/A,CHEMBL5291604
GABBR1,Gamma-aminobutyric acid type B receptor subunit 1,Belongs to the G-protein coupled receptor 3 family. GABA-B receptor subfamily,CHEMBL2064
GABBR1,Gamma-aminobutyric acid type B receptor subunit 2,Belongs to the G-protein coupled receptor 3 family. GABA-B receptor subfamily,CHEMBL5034
GABBR1,BTB/POZ domain-containing protein KCTD12,N/A,CHEMBL4523424
GABBR1,Vesicle-fusing ATPase,Belongs to the AAA ATPase family,CHEMBL2311231
GABBR1,Prosaposin receptor GPR37,Belongs to the G-protein coupled receptor 1 family,CHEMBL4523862
GABBR1,Protein max,Belongs to the MAX family,CHEMBL1250363
GABBR1,SH2/SH3 adapter protein NCK1,N/A,CHEMBL4846
AVP,"NACHT, LRR and PYD domains-containing protein 3",Belongs to the NLRP family,CHEMBL1741208
AVP,Vasopressin V1b receptor,Belongs to the G-protein coupled receptor 1 family. Vasopressin/oxytocin receptor subfamily,CHEMBL1921
AVP,Protein mono-ADP-ribosyltransferase PARP12,Belongs to the ARTD/PARP family,CHEMBL2429709
AVP,Vasopressin V1a receptor,Belongs to the G-protein coupled receptor 1 family. Vasopressin/oxytocin receptor subfamily,CHEMBL1889
AVP,Protein mono-ADP-ribosyltransferase TIPARP,Belongs to the ARTD/PARP family,CHEMBL2380188
AVP,Protein mono-ADP-ribosyltransferase PARP11,Belongs to the ARTD/PARP family,CHEMBL2380189
AVP,Zinc finger CCCH-type antiviral protein 1,Belongs to the ARTD/PARP family,CHEMBL4295879
AVP,Natriuretic peptides A,Belongs to the natriuretic peptide family,CHEMBL1293193
AVP,Vasopressin V2 receptor,Belongs to the G-protein coupled receptor 1 family. Vasopressin/oxytocin receptor subfamily,CHEMBL1790
AVP,5'-AMP-activated protein kinase subunit beta-2,Belongs to the 5'-AMP-activated protein kinase beta subunit family,CHEMBL2117
AVP,Angiotensin-converting enzyme 2,Belongs to the peptidase M2 family,CHEMBL3736
KDM4C,Lysine-specific demethylase 4C,Belongs to the JHDM3 histone demethylase family,CHEMBL6175
KDM4C,Lysine-specific demethylase 4B,Belongs to the JHDM3 histone demethylase family,CHEMBL3313832
KDM4C,Histone H3.2,Belongs to the histone H3 family,CHEMBL4295875
KDM4C,Serine/threonine-protein kinase N1,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. PKC subfamily,CHEMBL3384
MBD3L2,Histone-binding protein RBBP7,Belongs to the WD repeat RBAP46/RBAP48/MSI1 family,CHEMBL3301388
MBD3L2,Histone deacetylase 1,Belongs to the histone deacetylase family. HD type 1 subfamily,CHEMBL325
MBD3L2,Histone-binding protein RBBP4,Belongs to the WD repeat RBAP46/RBAP48/MSI1 family,CHEMBL2189120
MBD3L2,Histone deacetylase 2,Belongs to the histone deacetylase family. HD type 1 subfamily,CHEMBL1937
MBD3L2,Uncharacterized serine/threonine-protein kinase SBK3,Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. STKL subfamily,CHEMBL5116
MBD3L2,Methyl-CpG-binding domain protein 2,N/A,CHEMBL3707462
DAZ3,Alpha-2-macroglobulin,Belongs to the protease inhibitor I39 (alpha-2-macroglobulin) family,CHEMBL4295690
DAZ3,Survival motor neuron protein,Belongs to the SMN family,CHEMBL1293232
DAZ3,Dynamin-2,Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin/Fzo/YdjA family,CHEMBL5812
HNRNPA3,Heterogeneous nuclear ribonucleoprotein A1,N/A,CHEMBL1955709
HNRNPA3,Heterogeneous nuclear ribonucleoproteins A2/B1,N/A,CHEMBL3124741
MECP2,Methyl-CpG-binding protein 2,N/A,CHEMBL3638346
MECP2,Cyclin-dependent kinase-like 5,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. CDC2/CDKX subfamily,CHEMBL1163112
MECP2,Cyclic AMP-responsive element-binding protein 1,Belongs to the bZIP family,CHEMBL5587
MECP2,Nuclear receptor corepressor 2,Belongs to the N-CoR nuclear receptor corepressors family,CHEMBL2111363
MECP2,Calcium/calmodulin-dependent protein kinase type IV,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. CaMK subfamily,CHEMBL2494
MECP2,Nuclear receptor corepressor 1,Belongs to the N-CoR nuclear receptor corepressors family,CHEMBL3038484
SNRNP35,Uncharacterized serine/threonine-protein kinase SBK3,Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. STKL subfamily,CHEMBL5116
SNRNP35,Serpin H1,Belongs to the serpin family,CHEMBL5286
SNRNP35,Ras-related protein Rab-6A,Belongs to the small GTPase superfamily. Rab family,CHEMBL4105703
SNRNP35,Dual specificity protein kinase CLK3,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. Lammer subfamily,CHEMBL4226
SNRNP35,Chromobox protein homolog 5,N/A,CHEMBL3826867
SNRNP35,TGF-beta receptor type-2,Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family. TGFB receptor subfamily,CHEMBL4267
SNRNP35,cAMP-dependent protein kinase catalytic subunit alpha,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. cAMP subfamily,CHEMBL4101
SNRNP35,Transitional endoplasmic reticulum ATPase,Belongs to the AAA ATPase family,CHEMBL1075145
SRSF10,YTH domain-containing protein 1,N/A,CHEMBL5169187
SRSF10,Dual specificity protein kinase CLK1,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. Lammer subfamily,CHEMBL4224
SRSF10,Dual specificity protein kinase CLK3,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. Lammer subfamily,CHEMBL4226
SRSF10,SRSF protein kinase 2,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family,CHEMBL5668
SRSF10,14-3-3 protein sigma,Belongs to the 14-3-3 family,CHEMBL1909482
SRSF10,14-3-3 protein gamma,Belongs to the 14-3-3 family,CHEMBL1293296
SRSF10,14-3-3 protein epsilon,Belongs to the 14-3-3 family,CHEMBL3329082
ETFDH,Myosin-7B,Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family,CHEMBL3831286
ETFDH,Electron transfer flavoprotein subunit beta,Belongs to the ETF beta-subunit/FixA family,CHEMBL4105744
RALYL,Heterogeneous nuclear ribonucleoproteins C1/C2,Belongs to the RRM HNRPC family. RALY subfamily,CHEMBL2216742
RALYL,Calcium/calmodulin-dependent protein kinase type II subunit alpha,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. CaMK subfamily,CHEMBL4147
APAF1,Apoptotic protease-activating factor 1,N/A,CHEMBL1795093
APAF1,Cytosolic iron-sulfur assembly component 2A,Belongs to the MIP18 family,CHEMBL4295943
APAF1,"NACHT, LRR and PYD domains-containing protein 3",Belongs to the NLRP family,CHEMBL1741208
APAF1,Caspase-9,Belongs to the peptidase C14A family,CHEMBL2273
APAF1,Heterogeneous nuclear ribonucleoprotein A1,N/A,CHEMBL1955709
APAF1,Bcl-2-like protein 10,Belongs to the Bcl-2 family,CHEMBL5988
APAF1,Cytochrome c,Belongs to the cytochrome c family,CHEMBL2189163
APAF1,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit,Belongs to the PPP phosphatase family. PP-1 subfamily,CHEMBL2164
APAF1,Apoptosis regulator Bcl-2,Belongs to the Bcl-2 family,CHEMBL4860
APAF1,14-3-3 protein epsilon,Belongs to the 14-3-3 family,CHEMBL3329082
APAF1,"NACHT, LRR and PYD domains-containing protein 1",Belongs to the NLRP family,CHEMBL1741214
SLIRP,Pre-mRNA-splicing regulator WTAP,Belongs to the fl(2)d family,CHEMBL4523298
SLIRP,"Leucine-rich PPR motif-containing protein, mitochondrial",N/A,CHEMBL4295762
SLIRP,"Acyl carrier protein, mitochondrial",Belongs to the acyl carrier protein (ACP) family,CHEMBL2363065
SNRNP70,Serine/arginine-rich splicing factor 1,Belongs to the splicing factor SR family,CHEMBL4295805
PYGM,"Glycogen phosphorylase, muscle form",Belongs to the glycogen phosphorylase family,CHEMBL3526
PYGM,"Glycogen phosphorylase, brain form",Belongs to the glycogen phosphorylase family,CHEMBL3856
PYGM,"Phosphorylase b kinase gamma catalytic chain, liver/testis isoform",Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family,CHEMBL2349
PYGM,Serine/threonine-protein kinase MRCK gamma,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. DMPK subfamily,CHEMBL5615
PYGM,"Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform",Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family,CHEMBL4004
PYGM,"Glycogen phosphorylase, liver form",Belongs to the glycogen phosphorylase family,CHEMBL2568
PYGM,5'-AMP-activated protein kinase subunit beta-2,Belongs to the 5'-AMP-activated protein kinase beta subunit family,CHEMBL2117
FAP,Prolyl endopeptidase FAP,Belongs to the peptidase S9B family,CHEMBL4683
FAP,Integrin alpha-3,Belongs to the integrin alpha chain family,CHEMBL3525
FAP,Urokinase plasminogen activator surface receptor,N/A,CHEMBL4883
FAP,Integrin beta-1,Belongs to the integrin beta chain family,CHEMBL1905
FAP,Tyrosine-protein phosphatase non-receptor type 13,Belongs to the protein-tyrosine phosphatase family. Non-receptor class subfamily,CHEMBL2976
FAP,VIP peptides,Belongs to the glucagon family,CHEMBL5737
FAP,Ubiquitin-like modifier-activating enzyme ATG7,Belongs to the ATG7 family,CHEMBL2321621
FAP,Dipeptidyl peptidase 4,Belongs to the peptidase S9B family. DPPIV subfamily,CHEMBL284
FAP,Receptor expression-enhancing protein 5,Belongs to the DP1 family,CHEMBL4295797
FAP,Pro-glucagon,Belongs to the glucagon family,CHEMBL5736
FAP,Tumor necrosis factor receptor superfamily member 16,N/A,CHEMBL4762
FAP,Adenomatous polyposis coli protein,Belongs to the adenomatous polyposis coli (APC) family,CHEMBL3233
PYGL,"Glycogen phosphorylase, liver form",Belongs to the glycogen phosphorylase family,CHEMBL2568
PYGL,"Glycogen phosphorylase, brain form",Belongs to the glycogen phosphorylase family,CHEMBL3856
PYGL,Receptor-interacting serine/threonine-protein kinase 3,Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family,CHEMBL1795199
PYGL,"Glycogen phosphorylase, muscle form",Belongs to the glycogen phosphorylase family,CHEMBL3526
BDKRB1,B1 bradykinin receptor,Belongs to the G-protein coupled receptor 1 family. Bradykinin receptor subfamily. BDKRB1 sub-subfamily,CHEMBL4308
PYGB,"Glycogen phosphorylase, brain form",Belongs to the glycogen phosphorylase family,CHEMBL3856
PYGB,"Glycogen phosphorylase, liver form",Belongs to the glycogen phosphorylase family,CHEMBL2568
